地名,センター,生活ごみ,缶・びん,ペットボトル,プラ容器包装,小型金属,古紙類
少林寺町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
少林寺町東1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
昭和通1から6丁,東工場,火 金,土1 土3,土2 土4,水,木2,
新在家町西1から4丁,東工場,火 金,土1 土3,土2 土4,水,木2,
新在家町東1から4丁,東工場,水 土,火1 火3,火2 火4,金,土2,
神保通1街区,東工場,水 土,火1 火3,火2 火4,金,土2,
神保通2から3街区,東工場,水 土,木1 木3,木2 木4,月,火2,
新町1街区,東工場,水 土,木1 木3,木2 木4,月,火2,
新町2から5街区,東工場,月 木,金2 金4,金1 金3,火,土2,
神明町西1から3丁,東工場,月 木,水2 水4,水1 水3,土,木2,
神明町東1から3丁,東工場,水 土,金2 金4,金1 金3,火,土2,
