地名,センター,生活ごみ,缶・びん,ペットボトル,プラ容器包装,小型金属,古紙類
築港浜寺西町,東工場,火 金,月1 月3,月2 月4,木,火3,
津久野町1丁（ただし、1街区11から15号を除く）、2丁13街区,東工場,月 木,火2 火4,火1 火3,金,土3,
津久野町1丁1街区11から15号、2丁1から12､14から39街区、3丁,東工場,月 木,水1 水3,水2 水4,土,木3,
鶴田町,東工場,月 木,水1 水3,水2 水4,土,木3,
浜寺石津町中1から5丁,東工場,月 木,金1 金3,金2 金4,火,土3,
浜寺石津町西1から5丁,東工場,月 木,金1 金3,金2 金4,火,土3,
浜寺石津町東1から4丁,東工場,月 木,金1 金3,金2 金4,火,土3,
浜寺石津町東5丁,東工場,火 金,月1 月3,月2 月4,木,火3,
浜寺公園町1から4丁,東工場,火 金,月1 月3,月2 月4,木,火3,
浜寺昭和町1から5丁,東工場,火 金,月1 月3,月2 月4,木,火3,
浜寺諏訪森町中1から3丁,東工場,月 木,金1 金3,金2 金4,火,土3,
浜寺諏訪森町西1から4丁,東工場,月 木,金1 金3,金2 金4,火,土3,
浜寺諏訪森町東1から3丁,東工場,月 木,金1 金3,金2 金4,火,土3,
浜寺船尾町西1から5丁,東工場,火 金,月1 月3,月2 月4,木,火3,
浜寺船尾町東1から4丁,東工場,火 金,月1 月3,月2 月4,木,火3,
浜寺南町1から3丁,東工場,火 金,月1 月3,月2 月4,木,火3,
浜寺元町1から6丁,東工場,火 金,月1 月3,月2 月4,木,火3,
原田,東工場,火 金,木2 木4,木1 木3,月,火3,
八田寺町40番地,東工場,月 木,土2 土4,土1 土3,水,木3,
菱木1から4丁,東工場,火 金,木2 木4,木1 木3,月,火3,
平岡町,東工場,月 木,土2 土4,土1 土3,水,木3,
北条町1から2丁,東工場,月 木,火2 火4,火1 火3,金,土3,
堀上緑町1から3丁,東工場,月 木,土2 土4,土1 土3,水,木3,
宮下町,東工場,月 木,水1 水3,水2 水4,土,木3,
山田1から4丁,東工場,火 金,木2 木4,木1 木3,月,火3,
赤坂台1から6丁,東工場,月 木,火2 火4,火1 火3,金,土3,
泉田中,東工場,火 金,月1 月3,月2 月4,木,土3,
稲葉1から3丁,東工場,水 土,火1 火3,火2 火4,金,木3,
岩室,東工場,火 金,土2 土4,土1 土3,水,木3,
大庭寺,東工場,水 土,火1 火3,火2 火4,金,木3,
大森,東工場,月 木,土2 土4,土1 土3,水,火3,
片蔵（ただし､434 442 449 456 460の1 2 12 13 16 18から44 46から49 51から55 61 63から65 68から97､462 1389番地を除く）,東工場,火 金,月1 月3,月2 月4,木,土3,
片蔵434 442 449 456 460の1 2 12 13 16 18から44 46から49 51から55 61 63から65 68から97､462 1389番地,東工場,月 木,土1 土3,土2 土4,水,火3,
釜 室（ただし､1､3の2から4､188の2 15から18 23から29 31から73､295から297､299､305、306、307の1 9から 77､407の12 14 33 37から46､420､1014の2 3 5から7、1050の1 7から13番地を除く）　　　　　,東工場,火 金,月1 月3,月2 月4,木,土3,
釜室1、3の2から4、188の2 15から18 23から29 31から73、295から297、299、305、306、307の1 9から77、407の12 14 33 37から46、420番地,東工場,水 土,月1 月3,月2 月4,木,火3,
釜室1014の2 3 5から7、1050の1 7から13番地,東工場,月 木,土1 土3,土2 土4,水,火3,
鴨谷台1から3丁,東工場,月 木,土2 土4,土1 土3,水,火3,
小代1から291、293から432、434から509、511から519、551から556、559から564、567から1181番地　　　,東工場,水 土,火1 火3,火2 火4,金,木3,
小代433､510､520から550､557から558､565から566番地,東工場,火 金,月2 月4,月1 月3,木,土3,
逆瀬川,東工場,水 土,月1 月3,月2 月4,木,火3,
城山台1から5丁,東工場,火 金,木1 木3,木2 木4,月,土3,
新檜尾台1から4丁,東工場,月 木,金2 金4,金1 金3,火,土3,
太平寺508の5,東工場,火 金,木2 木4,木1 木3,月,火3,
太平寺696の2から5､724の1 3､725の1､726の1､727､728､728の1､729から733の1 2､735､786の3番地,東工場,水 土,火1 火3,火2 火4,金,木3,
高尾1から3丁,東工場,水 土,火1 火3,火2 火4,金,木3,
高倉台,東工場,水 土,月1 月3,月2 月4,木,火3,
竹城台1丁1から12街区,東工場,火 金,土1 土3,土2 土4,水,木3,
竹城台2から4丁,東工場,水 土,金2 金4,金1 金3,火,木3,
茶山台1から3丁,東工場,火 金,月2 月4,月1 月3,木,土3,
栂,東工場,火 金,水2 水4,水1 水3,土,木3,
